px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor_type
7.35311	-4.9026	-2.73555	2.28599	0.661201	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	3.29507	R
7.41588	-5.05477	-2.75505	2.28288	0.622345	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	1.35745	L
7.49113	-5.16828	-2.68107	2.30154	0.605083	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.09252	R
7.55223	-5.32592	-2.70695	2.29015	0.560755	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	1.66874	L
7.64209	-5.44561	-2.68702	2.31054	0.549404	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.477703	R
7.71615	-5.58556	-2.70114	2.31059	0.5196	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.733881	L
7.79347	-5.69217	-2.62458	2.3261	0.505388	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	0.985555	R
7.8516	-5.84221	-2.63877	2.30875	0.461009	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	1.61487	L
7.97314	-5.98561	-2.92917	2.32949	0.46442	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	8.06973	R
8.04196	-6.1332	-2.94607	2.31423	0.426343	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	1.19196	L
8.13494	-6.24989	-2.8494	2.3272	0.413635	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.5589	R
8.21999	-6.38957	-2.85719	2.3244	0.388373	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.487269	L
8.30156	-6.49628	-2.7579	2.33424	0.375702	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.31705	R
8.3653	-6.64913	-2.76629	2.31153	0.333076	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	1.38607	L
8.45569	-6.76371	-2.75331	2.32151	0.324896	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.445989	R
8.52934	-6.90119	-2.7546	2.31033	0.296535	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.644362	L
8.60378	-7.00033	-2.70224	2.31595	0.286916	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.676806	R
8.65568	-7.14247	-2.71134	2.2885	0.246102	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	1.35232	L
