px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor_type
0	0	0	0	0	0	0	0	0	0	0	6.93194e-310	L
0.0123678	-0.0123678	0	0	0	0	0	0	0	0	0	0.620541	R
1.54055	-0.122008	1.78424	6.93889e-18	1.38778e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	1.39145	L
1.61366	0.0217283	2.12847	-0.00266715	0.00153472	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	2.26056	R
3.88305	-0.130366	2.75029	-0.155398	0.0037344	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0.370839	L
3.95071	0.0726505	2.55905	0.0508369	-0.0137152	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.02604	R
6.85009	0.410381	3.28106	0.435739	0.314305	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0.813798	L
6.7674	0.437558	3.20902	0.469659	0.342404	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.61075	R
9.07126	0.600696	2.961	-0.0668419	-0.129595	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.631875	L
9.03664	0.668116	2.90691	-0.0268881	-0.108989	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.14907	R
11.5705	1.6531	3.07609	0.765874	0.378866	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.84537	L
11.5448	1.61627	3.14222	0.725049	0.347565	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.513272	R
13.5934	2.33105	1.87361	0.340654	-0.0985755	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	1.26318	L
13.6175	2.31262	2.52607	0.255629	-0.171917	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.40162	R
16.6275	2.90173	3.50267	0.0545181	-0.187778	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0.788861	L
16.5533	2.88665	3.01721	0.0547767	-0.201219	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.27996	R
19.0102	3.69504	2.96265	0.423796	0.147801	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.462283	L
19.0792	3.71731	2.78447	0.464337	0.186195	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.37518	R
21.3257	4.73505	2.92839	0.399568	0.0294013	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.115909	L
21.3824	4.74506	3.00359	0.38592	0.0200687	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.761389	R
24.0712	5.57141	3.30653	0.189733	-0.113674	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.15889	L
24.1742	5.60383	3.28643	0.17913	-0.121668	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	2.86841	R
26.6086	6.9504	3.17508	0.671026	0.257593	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.536259	L
26.5959	6.9438	3.34305	0.648452	0.227772	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.0830933	R
29.5738	8.09278	3.4566	0.234141	-0.179832	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.777837	L
29.558	8.08949	3.226	0.234005	-0.18367	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.132663	R
31.9451	9.86447	3.19832	0.896984	0.346143	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	1.03002	L
31.9021	9.84	3.37058	0.852173	0.289826	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.704257	R
34.6076	10.7175	2.29124	0.196284	-0.313884	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	1.87264	L
34.7122	10.7711	3.01295	0.176279	-0.302927	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.99395	R
37.1411	12.0727	3.0349	0.657313	0.187085	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.890092	L
37.2196	12.0971	3.3061	0.64349	0.163862	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.52342	R
40.3122	13.4679	3.80389	0.246254	-0.194289	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0.807985	L
40.2408	13.4416	3.24751	0.233405	-0.21783	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.37942	R
42.7682	14.8177	3.23612	0.636406	0.173628	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.571118	L
42.7445	14.8106	3.35715	0.618552	0.152707	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.199516	R
45.3495	16.552	3.65273	0.556721	0.0153725	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.161997	L
45.3938	16.5664	3.39707	0.561774	0.0389291	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.784323	R
48.15	17.2909	3.22758	0.0925671	-0.279112	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0.388893	L
48.1253	17.283	3.03582	0.0845605	-0.294651	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.198847	R
50.6208	19.051	2.91765	0.905582	0.404024	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	1.91164	L
